EVENT,BOUT,RED FIGHTER,BLUE FIGHTER,RED_FIGHTER_URL,BLUE_FIGHTER_URL,URL,EVENT_URL
UFC Fight Night: Della Maddalena vs. Prates,Jack Della Maddalena vs. Carlos Prates,Jack Della Maddalena,Carlos Prates,http://ufcstats.com/fighter-details/6b453bc35a823c3f,http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,http://ufcstats.com/fight-details/eb6d9fef6c374830,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Beneil Dariush vs. Quillan Salkilld,Beneil Dariush,Quillan Salkilld,http://ufcstats.com/fighter-details/08af939f41b5a57b,http://ufcstats.com/fighter-details/17734443a833cdf7,http://ufcstats.com/fight-details/5c7c38dece435cde,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Tim Elliott vs. Steve Erceg,Tim Elliott,Steve Erceg,http://ufcstats.com/fighter-details/c96d9178c9ed9e62,http://ufcstats.com/fighter-details/32ab52e5de93092d,http://ufcstats.com/fight-details/afec383a96893ec5,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Marwan Rahiki vs. Ollie Schmid,Marwan Rahiki,Ollie Schmid,http://ufcstats.com/fighter-details/6eedb757f13b9978,http://ufcstats.com/fighter-details/b701f095e6ccb149,http://ufcstats.com/fight-details/cfc884a249141cba,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Shamil Gaziev vs. Brando Pericic,Shamil Gaziev,Brando Pericic,http://ufcstats.com/fighter-details/6747ccd6d1acd266,http://ufcstats.com/fighter-details/d0fd0d9ee560dae7,http://ufcstats.com/fight-details/a564219e7a964aa6,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Tai Tuivasa vs. Louie Sutherland,Tai Tuivasa,Louie Sutherland,http://ufcstats.com/fighter-details/c62fbc117d57b943,http://ufcstats.com/fighter-details/cdb7b38b1b357f26,http://ufcstats.com/fight-details/2afaa97901d5587c,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Cam Rowston vs. Robert Bryczek,Cam Rowston,Robert Bryczek,http://ufcstats.com/fighter-details/8ebc3a8da015d70c,http://ufcstats.com/fighter-details/f96856f9d69fd7e4,http://ufcstats.com/fight-details/46181797eb543a0b,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Junior Tafa vs. Kevin Christian,Junior Tafa,Kevin Christian,http://ufcstats.com/fighter-details/c15fa95b9a12fde4,http://ufcstats.com/fighter-details/7e9b36a9847db116,http://ufcstats.com/fight-details/1cb0711cd49dd95e,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Jacob Malkoun vs. Gerald Meerschaert,Jacob Malkoun,Gerald Meerschaert,http://ufcstats.com/fighter-details/d4270315cbcf2569,http://ufcstats.com/fighter-details/6ac9bc2953c47345,http://ufcstats.com/fight-details/edff38661bf2866b,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Colby Thicknesse vs. Vince Morales,Colby Thicknesse,Vince Morales,http://ufcstats.com/fighter-details/ed7d329d7c29428d,http://ufcstats.com/fighter-details/37098a6e6c27fb66,http://ufcstats.com/fight-details/00bde62cac38e5e9,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Ben Johnston vs. Wes Schultz,Ben Johnston,Wes Schultz,http://ufcstats.com/fighter-details/3261aa79bf6caa64,http://ufcstats.com/fighter-details/b4443fae47e7eb9d,http://ufcstats.com/fight-details/827c64369b374989,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Jonathan Micallef vs. Themba Gorimbo,Jonathan Micallef,Themba Gorimbo,http://ufcstats.com/fighter-details/f782f953bfe7b5f2,http://ufcstats.com/fighter-details/40f3cb27fc7305a1,http://ufcstats.com/fight-details/7ac4ae301ed699ab,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Della Maddalena vs. Prates,Dom Mar Fan vs. Kody Steele,Dom Mar Fan,Kody Steele,http://ufcstats.com/fighter-details/530af2900b5a1693,http://ufcstats.com/fighter-details/aebaa8cec15b083d,http://ufcstats.com/fight-details/610a640a0cd81ce5,http://ufcstats.com/event-details/872b018076f831b0
UFC Fight Night: Sterling vs. Zalal,Aljamain Sterling vs. Youssef Zalal,Aljamain Sterling,Youssef Zalal,http://ufcstats.com/fighter-details/cb696ebfb6598724,http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,http://ufcstats.com/fight-details/f524e42c36028de0,http://ufcstats.com/event-details/e60d773a0a42048a
UFC Fight Night: Sterling vs. Zalal,Norma Dumont vs. Joselyne Edwards,Norma Dumont,Joselyne Edwards,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,http://ufcstats.com/fighter-details/f9ab66e67240db7b,http://ufcstats.com/fight-details/cb745968bd16bf56,http://ufcstats.com/event-details/e60d773a0a42048a
UFC Fight Night: Sterling vs. Zalal,Rafa Garcia vs. Alexander Hernandez,Rafa Garcia,Alexander Hernandez,http://ufcstats.com/fighter-details/e132d47bd9efbbe0,http://ufcstats.com/fighter-details/262a7d06203657e6,http://ufcstats.com/fight-details/84951374e4cdc679,http://ufcstats.com/event-details/e60d773a0a42048a
UFC Fight Night: Sterling vs. Zalal,Davey Grant vs. Adrian Luna Martinetti,Davey Grant,Adrian Luna Martinetti,http://ufcstats.com/fighter-details/113df4fde64735c6,http://ufcstats.com/fighter-details/e3b30b573e7f0d19,http://ufcstats.com/fight-details/f5aff2f858311fbc,http://ufcstats.com/event-details/e60d773a0a42048a
UFC Fight Night: Sterling vs. Zalal,Montel Jackson vs. Raoni Barcelos,Montel Jackson,Raoni Barcelos,http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,http://ufcstats.com/fight-details/348de8e364ecf041,http://ufcstats.com/event-details/e60d773a0a42048a
UFC Fight Night: Sterling vs. Zalal,Marcus Buchecha vs. Ryan Spann,Marcus Buchecha,Ryan Spann,http://ufcstats.com/fighter-details/095854a135e6db55,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,http://ufcstats.com/fight-details/7e551ddb1494a45f,http://ufcstats.com/event-details/e60d773a0a42048a
UFC Fight Night: Sterling vs. Zalal,Rodolfo Vieira vs. Eric McConico,Rodolfo Vieira,Eric McConico,http://ufcstats.com/fighter-details/260e9e0d4954aea6,http://ufcstats.com/fighter-details/9508cc6184cb2450,http://ufcstats.com/fight-details/67f24cf244134661,http://ufcstats.com/event-details/e60d773a0a42048a
